URL,https://limbuscompany.wiki.gg/wiki/Limbus_Company_Wiki
STT,Section ID
1,mp-box-welcome
3,mp-box-about
4,mp-box-featured
5,mp-box-wikis
6,mp-box-teaser
7,mp-box-new
8,mp-box-events
